# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:52
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
71655,248,8,986,3,-25,18
71656,250,11,991,4,-22,18
71657,246,9,986,6,-18,18
71658,250,8,983,6,-17,18
71659,251,10,996,6,-18,18
71660,244,5,996,4,-24,19
71661,255,12,987,0,-34,20
71662,249,0,994,0,-32,20
71663,250,7,993,2,-30,19
71664,252,1,989,3,-28,18
71665,256,3,986,3,-24,18
71666,250,3,987,3,-21,18
71667,247,5,988,1,-31,19
71668,254,8,982,0,-42,20
71669,250,12,982,0,-41,18
71670,254,11,980,1,-30,18
71671,250,8,982,5,-16,17
71672,254,5,985,8,-7,18
71673,253,13,990,7,-11,18
71674,252,8,994,5,-19,18
71675,249,4,986,2,-27,18
71676,251,10,988,2,-26,18
71677,252,12,985,5,-20,18
71678,251,9,986,7,-12,18
71679,251,10,991,7,-12,18
71680,251,16,994,5,-19,18
71681,247,10,984,2,-27,19
71682,252,15,984,2,-28,18
71683,246,10,987,4,-19,18
71684,250,13,988,8,-9,17
71685,249,9,989,7,-11,16
71686,250,6,993,4,-18,17
71687,246,12,988,2,-25,17
71688,247,10,984,3,-25,18
71689,252,13,985,4,-19,18
71690,252,9,985,5,-13,17
71691,250,2,981,7,-11,16
71692,248,4,991,7,-14,18
71693,251,10,983,4,-18,18
71694,254,5,995,2,-23,18
71695,248,5,982,1,-27,18
71696,251,7,979,2,-23,17
71697,251,6,984,5,-15,18
71698,250,5,989,7,-9,17
71699,243,4,991,5,-15,17
71700,253,8,994,2,-28,19
71701,248,6,985,0,-35,19
71702,254,14,982,0,-31,18
71703,250,11,977,7,-12,17
71704,245,4,987,13,5,16
71705,247,7,995,13,7,17
71706,247,10,1001,7,-9,18
71707,251,9,995,-2,-42,19
71708,247,3,981,-7,-54,21
71709,261,4,980,-2,-44,21
71710,255,9,979,4,-22,18
71711,245,10,979,11,4,18
71712,250,7,989,14,10,16
71713,249,14,995,10,-4,18
71714,247,4,995,2,-26,18
71715,243,7,986,-2,-42,19
71716,248,3,982,0,-32,18
71717,244,6,977,8,-11,16
71718,248,0,985,15,11,16
71719,249,9,1001,14,9,16
71720,244,13,1001,4,-22,18
71721,250,10,989,-2,-45,21
71722,255,5,981,-2,-42,21
71723,254,1,976,4,-21,18
71724,252,11,988,11,-1,17
71725,250,9,994,11,0,16
71726,257,12,998,7,-14,18
71727,248,8,991,2,-30,19
71728,249,13,983,0,-32,18
71729,247,10,990,3,-22,18
71730,249,12,983,4,-14,18
71731,256,7,990,7,-11,18
71732,252,7,991,7,-13,17
71733,254,7,991,4,-17,18
71734,250,8,987,1,-28,18
71735,252,5,984,0,-33,18
71736,256,10,981,4,-23,18
71737,247,5,976,8,-9,18
71738,257,8,985,10,0,17
71739,245,8,993,9,-6,16
71740,243,6,992,4,-17,16
71741,248,10,987,2,-25,18
71742,247,4,987,2,-28,17
71743,256,8,989,3,-25,16
71744,251,8,981,4,-20,18
71745,249,0,983,7,-14,18
71746,251,7,989,7,-13,18
71747,250,6,989,7,-15,18
71748,250,7,988,7,-16,18
71749,254,9,989,5,-18,18
71750,243,5,989,3,-23,18
